idx,entry_addr,nome,tam_nome,get_0x08,set_0x0C,run_0x10,help_0x14
0,0x08013E34,+DEBUG,6,0x08011761,0x08011761,0x08010711,AT+DEBUG:Set more info input\r\n
1,0x08013E4C,Z,1,0x08011761,0x08011761,0x0801175D,ATZ: Trig a reset of the MCU\r\n
2,0x08013E64,+FDR,4,0x08011761,0x08011761,0x080109B9,"AT+FDR: Reset Parameters to Factory Default, Keys Reserve\r\n"
3,0x08013E7C,+DEUI,5,0x080107F7,0x08010805,0x08011761,AT+DEUI: Get or Set the Device EUI\r\n
4,0x08013E94,+APPEUI,7,0x080103BD,0x080103CB,0x08011761,AT+APPEUI: Get or Set the Application EUI\r\n
5,0x08013EAC,+APPKEY,7,0x080103EF,0x080103FD,0x08011761,AT+APPKEY: Get or Set the Application Key\r\n
6,0x08013EC4,+DADDR,6,0x080107C9,0x080107D3,0x08011761,AT+DADDR: Get or Set the Device Address\r\n
7,0x08013EDC,+NWKSKEY,8,0x08010DCD,0x08010DDB,0x08011761,AT+NWKSKEY: Get or Set the Network Session Key\r\n
8,0x08013EF4,+APPSKEY,8,0x08010423,0x08010431,0x08011761,AT+APPSKEY: Get or Set the Application Session Key\r\n
9,0x08013F0C,+ADR,4,0x08010371,0x08010393,0x08011761,"AT+ADR: Get or Set the Adaptive Data Rate setting. (0: off, 1: on)\r\n"
10,0x08013F24,+TXP,4,0x08011339,0x0801135D,0x08011761,
11,0x08013F3C,+DR,3,0x08010741,0x08010765,0x08011761,AT+DR: Get or Set the Data Rate. (0-7 corresponding to DR_X)\r\n
12,0x08013F54,+DCS,4,0x080108FD,0x08010929,0x08011761,
13,0x08013F6C,+PNM,4,0x08010E01,0x08010E23,0x08011761,"AT+PNM: Get or Set the public network mode. (0: off, 1: on)\r\n"
14,0x08013F84,+RX2FQ,6,0x080110C5,0x080110E5,0x08011761,AT+RX2FQ: Get or Set the Rx2 window frequency\r\n
15,0x08013F9C,+RX2DR,6,0x08011011,0x08011035,0x08011761,AT+RX2DR: Get or Set the Rx2 window data rate (0-7 corresponding to DR_X)\r\n
16,0x08013FB4,+RX1DL,6,0x08010FC9,0x08010FE9,0x08011761,
17,0x08013FCC,+RX2DL,6,0x0801107D,0x0801109D,0x08011761,
18,0x08013FE4,+JN1DL,6,0x08010B33,0x08010B55,0x08011761,
19,0x08013FFC,+JN2DL,6,0x08010BB1,0x08010BD1,0x08011761,
20,0x08014014,+NJM,4,0x08010D45,0x08010D59,0x08011761,"AT+NJM: Get or Set the Network Join Mode. (0: ABP, 1: OTAA)\r\n"
21,0x0801402C,+NWKID,6,0x08010CC1,0x08010D15,0x08011761,AT+NWKID: Get or Set the Network ID\r\n
22,0x08014044,+FCU,4,0x080113C1,0x080113E1,0x08011761,AT+FCU: Get or Set the Frame Counter Uplink\r\n
23,0x0801405C,+FCD,4,0x080108B5,0x080108D5,0x08011761,AT+FCD: Get or Set the Frame Counter Downlink\r\n
24,0x08014074,+CLASS,6,0x08010829,0x08010859,0x08011761,AT+CLASS: Get or Set the Device Class\r\n
25,0x0801408C,+JOIN,5,0x08011761,0x08011761,0x08010B29,AT+JOIN: Join network\r\n
26,0x080140A4,+NJS,4,0x08010DA5,0x08011761,0x08011761,AT+NJS: Get the join status\r\n
27,0x080140BC,+SENDB,6,0x08011761,0x080111FD,0x08011761,AT+SENDB: Send hexadecimal data along with the application port\r\n
28,0x080140D4,+SEND,5,0x08011761,0x08011165,0x08011761,AT+SEND: Send text data along with the application port\r\n
29,0x080140EC,+RECVB,6,0x08010F79,0x08011761,0x08010F79,AT+RECVB: Print last received data in binary format (with hexadecimal values)\r\n
30,0x08014104,+RECV,5,0x08010F35,0x08011761,0x08010F35,AT+RECV: Print last received data in raw format\r\n
31,0x0801411C,+DWELLT,7,0x08010949,0x0801095D,0x08011761,AT+DWELLT: Get or set UplinkDwellTime\r\n
32,0x08014134,+RJTDC,6,0x08010E4D,0x08010E61,0x08011761,AT+RJTDC: Get or set the ReJoin data transmission interval in min\r\n
33,0x0801414C,+RPL,4,0x08010EC1,0x08010ED5,0x08011761,AT+RPL: Get or set response level\r\n
34,0x08014164,+VER,4,0x080119A5,0x08011761,0x08011761,AT+VER: Get current image version and Frequency Band\r\n
35,0x0801417C,+CFM,4,0x08011409,0x08011439,0x08011761,AT+CFM: Get or Set the confirmation mode (0-1)\r\n
36,0x08014194,+CFS,4,0x08011749,0x08011761,0x08011761,AT+CFS: Get confirmation status of the last AT+SEND (0-1)\r\n
37,0x080141AC,+SNR,4,0x08011851,0x08011761,0x08011761,AT+SNR: Get the SNR of the last received packet\r\n
38,0x080141C4,+RSSI,5,0x08011765,0x08011761,0x08011761,AT+RSSI: Get the RSSI of the last received packet\r\n
39,0x080141DC,+TDC,4,0x080112C9,0x080112DD,0x08011761,AT+TDC: Get or set the application data transmission interval in ms\r\n
40,0x080141F4,+PORT,5,0x080114D5,0x080114E5,0x08011761,AT+PORT: Get or set the application port\r\n
41,0x0801420C,+RX1WTO,7,0x08011861,0x08011875,0x08011761,
42,0x08014224,+RX2WTO,7,0x080118A1,0x080118B5,0x08011761,
43,0x0801423C,+DECRYPT,8,0x0801150D,0x0801152D,0x08011761,"AT+DECRYPT: Get or Set the Decrypt the uplink payload(0:Disable,1:Enable)\r\n"
44,0x08014254,+MOD,4,0x08010C2D,0x08010C41,0x08011761,AT+MOD:Get or Set the work mode\r\n
45,0x0801426C,+INTMOD1,8,0x080109E5,0x080109F9,0x08011761,
46,0x08014284,+INTMOD2,8,0x08010A51,0x08010A65,0x08011761,
47,0x0801429C,+INTMOD3,8,0x08010ABD,0x08010AD1,0x08011761,
48,0x080142B4,+WEIGRE,7,0x08011761,0x08011761,0x08011A45,AT+WEIGRE:Set the weight to 0g\r\n
49,0x080142CC,+WEIGAP,7,0x080119C1,0x080119E9,0x08011761,AT+WEIGAP:Get or Set the GapValue of weight\r\n
50,0x080142E4,+5VT,4,0x08010335,0x08010349,0x08011761,AT+5VT:Get or Set extend the time of 5V power\r\n
51,0x080142FC,+SETCNT,7,0x08011761,0x08011121,0x08011761,AT+SETCNT: Get or set the count at present\r\n
52,0x08014314,+CHS,4,0x080106C9,0x080106D9,0x08011761,AT+CHS: Get or Set Frequency (Unit: Hz) for Single Channel Mode\r\n
53,0x0801432C,+CHE,4,0x0801056D,0x0801063D,0x08011761,"AT+CHE: Get or Set eight channels mode,Only for US915,AU915,CN470\r\n"
54,0x08014344,+GETSENSORVALUE,15,0x08011761,0x080116F1,0x08011761,AT+GETSENSORVALUE: Returns the current sensor value\r\n
55,0x0801435C,+DDETECT,8,0x080115F9,0x0801162D,0x08011761,AT+DDETECT: Get or set the downlink detection\r\n
56,0x08014374,+SETMAXNBTRANS,14,0x080117E5,0x0801180D,0x08011761,AT+SETMAXNBTRANS: Get or set the max nbtrans in LinkADR\r\n
57,0x0801438C,+DISFCNTCHECK,13,0x08011559,0x08011579,0x08011761,"AT+DISFCNTCHECK: Get or set the Downlink Frame Check(0:Enable,1:Disable)\r\n"
58,0x080143A4,+DISMACANS,10,0x080115A9,0x080115C9,0x08011761,"AT+DISMACANS: Get or set the MAC ANS switch(0:Enable,1:Disable)\r\n"
59,0x080143BC,+RXDATEST,9,0x08011761,0x08011775,0x08011761,AT+RXDATEST: Set the downlink data detection\r\n
60,0x080143D4,+CFG,4,0x08011761,0x08011761,0x08010459,AT+CFG: Print all configurations\r\n
