endereco,fim,tamanho,n_insn,chamadores,chama,strings,perifericos,globais_ram,papel_inferido
0x080000C0,0x080000C8,0x8,3,,0x08000EB8,,,0x20001DC0,startup: seta SP=0x20001DC0 e chama __main (scatterload)
0x080000C8,0x080000D4,0xC,6,0x08000ED0,,,,,
0x080000D4,0x080000E6,0x12,9,,,,,,Reset_Handler (vetor[1]): salta para __main/main
0x080000E6,0x080000F0,0xA,4,,,,,,Default_Handler: loop infinito (b .)
0x080000F0,0x0800011C,0x2C,22,0x08000132 0x08001356 0x08001DA0 0x08001DB8 0x08001E7A 0x08001EEE 0x08002552 0x0800307E,,,,,
0x0800011C,0x08000144,0x28,19,0x08001E0C 0x0800212E 0x0800216C 0x080021AA 0x080074AE 0x08012FC2,0x080000F0,,,,utilitario de conversao (div/mod)
0x08000144,0x080001A4,0x60,45,0x08007556 0x080078C2 0x0800F4DC 0x0800FA14 0x0800FDDE,0x08000B4C 0x08000B2C,,,,utilitario aritmetico (divisao)
0x080001A4,0x0800021E,0x7A,59,0x080136B8 0x080136E0 0x0801370A,0x08000B2C,,,,
0x0800021E,0x08000242,0x24,18,0x080025F6 0x0800266E 0x080026A6 0x0800777C,,,,,
0x08000242,0x08000250,0xE,7,0x0800025E,,,,,
0x08000250,0x08000254,0x4,2,0x0800171C 0x08001758 0x080029E0 0x08003B66 0x08003BE6 0x08003C66 0x08003CE4 0x08003D20,,,,,memset simples
0x08000254,0x08000266,0x12,8,,0x08000242,,,,
0x08000266,0x08000274,0xE,7,0x08011168 0x08011200 0x0801177A 0x08011E4C 0x08011E8E 0x08011E9E 0x0801356A,,,,,
0x08000274,0x08000290,0x1C,14,0x08012BE8 0x08012BF4 0x08012C00 0x08012C0C 0x08012C18 0x08012C24 0x08012C3E 0x08012C4A,,,,,conversao de string (atoi/strtoul)
0x08000290,0x080002AE,0x1E,15,0x08012B68,,,,,strncmp (comparacao de nome de comando AT)
0x080002AE,0x080002C4,0x16,11,0x08008686 0x0800869C 0x08008DA6 0x0800902C,,,,,
0x080002C4,0x08000300,0x3C,29,0x08011E84,0x08000BC0,,,,
0x08000300,0x0800044A,0x14A,164,0x0800114C,0x08000B94,,,,
0x0800044A,0x08000464,0x1A,11,0x08013490,0x0800F8F8 0x08000C24,,,,
0x08000464,0x08000506,0xA2,79,,0x08000CA4 0x08000C94,,,,
0x08000506,0x0800050E,0x8,4,0x0800C14C,,,,,
0x0800050E,0x08000516,0x8,4,0x0800C146,,,,,
0x08000516,0x08000590,0x7A,61,0x080035C8 0x0800E252 0x0800E264 0x0800E2D0 0x0800E2E2 0x0800E2F2 0x0800E328 0x0800E33A,,,,,float: multiplicacao (__aeabi_fmul)
0x08000590,0x0800060C,0x7C,61,0x08003F7A,0x08000C94,,,,
0x0800060C,0x08000754,0x148,160,0x0800C05E 0x0800C9C8 0x0800C9D0 0x0800C9D8 0x0800C9E8 0x0800CA5A 0x0800CADC 0x0800CAEC,0x08000B2C 0x08000B6E 0x08000D30 0x08000D16,,,,
0x08000754,0x08000760,0xC,6,0x0800C0AE 0x0800C0B6 0x0800C6C0 0x0800C794 0x08013078 0x080130B4 0x080137F8,,,,,
0x08000760,0x08000770,0x10,8,0x08011B44 0x080121D0,,,,,
0x08000770,0x08000840,0xD0,103,0x08002AEC 0x0800C056 0x0800C090 0x0800C0EA 0x0800C6B0 0x0800C784 0x0800C9FE 0x0800CA66,0x08000D30,,,,
0x08000840,0x08000930,0xF0,119,0x08001B38 0x08001E24 0x08001EBE 0x080021CE 0x080021EA 0x08002206 0x08008660 0x0800C066,0x08000D16,,,,
0x08000930,0x0800095C,0x2C,22,0x08002AFA 0x0800C098 0x0800C0A6 0x0800C6B8 0x0800C78C 0x0800C9EE 0x0800DA4E 0x08013A30,,,,,
